2022-04-30 00:59:21.373 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$6ced6f58] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-30 00:59:27.927 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$50d36c5b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-30 00:59:27.983 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$6ced6f58] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-30 00:59:28.589 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
2022-04-30 00:59:28.614 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8089"]
2022-04-30 00:59:28.632 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-30 00:59:28.632 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2022-04-30 00:59:28.893 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-30 00:59:28.893 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5705 ms
2022-04-30 00:59:29.334 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-04-30 00:59:29.571 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-04-30 00:59:32.991 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6b6def36, org.springframework.security.web.context.SecurityContextPersistenceFilter@a323a5b, org.springframework.security.web.header.HeaderWriterFilter@fe8aaeb, org.springframework.security.web.authentication.logout.LogoutFilter@6b09ce57, org.springframework.security.oauth2.provider.client.ClientCredentialsTokenEndpointFilter@3d512652, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6d7740f0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@ad0bb4e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3babcaed, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3957d88b, org.springframework.security.web.session.SessionManagementFilter@5cf0673d, org.springframework.security.web.access.ExceptionTranslationFilter@2df3545d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4c063cb9]
2022-04-30 00:59:33.006 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: OrRequestMatcher [requestMatchers=[any request]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@21733cbe, org.springframework.security.web.context.SecurityContextPersistenceFilter@2fca3eb5, org.springframework.security.web.header.HeaderWriterFilter@1d283d1, org.springframework.security.web.authentication.logout.LogoutFilter@b5c902, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@74b1838, com.hznu.xdd.config.weixin.WeiXinMiniProgramAuthenticationFilter@77ccded4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@69eb544f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7cb29ea8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@64c8fcfb, org.springframework.security.web.session.SessionManagementFilter@66234b0f, org.springframework.security.web.access.ExceptionTranslationFilter@5ce3409b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2c8ff67]
2022-04-30 00:59:33.017 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@632241f5, org.springframework.security.web.context.SecurityContextPersistenceFilter@5458c71e, org.springframework.security.web.header.HeaderWriterFilter@3f357c9d, org.springframework.security.web.csrf.CsrfFilter@2de3b052, org.springframework.security.web.authentication.logout.LogoutFilter@37d0d373, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@36463b09, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@25a290ee, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@64bba0eb, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@57e4b86c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1ffd0114, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@b3857e2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@577bfadb, org.springframework.security.web.session.SessionManagementFilter@fe42a09, org.springframework.security.web.access.ExceptionTranslationFilter@16bbaab3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@9729a97]
2022-04-30 00:59:33.243 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-04-30 00:59:33.963 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
2022-04-30 00:59:34.035 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-04-30 00:59:35.396 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8089"]
2022-04-30 00:59:35.449 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path ''
2022-04-30 00:59:35.453 [main] INFO  com.hznu.xdd.Xdd_Application - Started Xdd_Application in 17.243 seconds (JVM running for 21.662)
2022-04-30 00:59:36.549 [RMI TCP Connection(2)-172.27.16.41] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-30 00:59:36.550 [RMI TCP Connection(2)-172.27.16.41] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-04-30 00:59:36.569 [RMI TCP Connection(2)-172.27.16.41] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 19 ms
2022-04-30 00:59:37.890 [parallel-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2022-04-30 00:59:37.892 [parallel-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2022-04-30 00:59:59.474 [http-nio-8089-exec-1] WARN  o.s.security.crypto.bcrypt.BCryptPasswordEncoder - Encoded password does not look like BCrypt
2022-04-30 01:01:07.860 [Thread-37] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
